facility_id,facility_name,region_name,hours,distinct_published_values,smallest_step_pct,implied_stretchers,people_min,people_max,hour_pairs_scored,agree_pct,disagree_pct,blind_pct
51247302,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,Capitale-Nationale,232,11,14.0,7,1,25,25514,62.5,24.1,13.4
51228765,CLSC ET HÔPITAL LE ROYER,Côte-Nord,232,11,10.0,10,5,35,25497,55.5,31.6,12.8
51218352,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,Bas-Saint-Laurent,232,13,11.0,9,5,36,25685,64.2,24.0,11.9
51221893,HÔPITAL DE MANIWAKI,Outaouais,232,11,16.0,6,3,29,25379,73.1,15.4,11.4
51219046,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,Estrie,232,12,9.0,11,7,34,25531,61.0,27.7,11.3
51219400,HÔPITAL D'ALMA,Saguenay-Lac-Saint-Jean,232,14,5.0,20,2,40,25897,60.4,28.5,11.2
51225589,HÔPITAL DE VAL-D'OR,Abitibi-Témiscamingue,232,15,9.0,11,4,46,25893,60.7,28.2,11.1
51245223,HÔPITAL DE MONTMAGNY,Chaudière-Appalaches,232,14,10.0,10,4,47,25884,60.2,29.0,10.9
51227882,HÔPITAL RÉGIONAL DE RIMOUSKI,Bas-Saint-Laurent,232,13,8.0,12,14,49,25894,50.5,38.9,10.6
51228906,HÔPITAL D'AMOS,Abitibi-Témiscamingue,232,14,14.0,7,5,37,25509,62.9,26.8,10.3
51245306,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL,Laurentides,232,13,12.0,8,6,31,25508,65.4,24.4,10.2
51217628,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE,Laurentides,232,15,20.0,5,2,32,25706,63.8,26.4,9.8
51228310,HÔPITAL DE LACHINE,Montréal,232,20,7.0,14,14,42,25512,60.7,29.6,9.7
51245231,HÔPITAL DE THETFORD,Chaudière-Appalaches,231,17,6.0,17,12,62,25910,51.4,39.0,9.6
51217610,HÔPITAL DE MONT-LAURIER,Laurentides,232,15,12.0,8,5,40,25753,66.6,23.9,9.6
51217586,L'HÔTEL-DIEU DE QUÉBEC,Capitale-Nationale,232,15,6.0,17,9,34,25426,71.4,19.1,9.5
51232023,HÔPITAL ET CLSC DE SEPT-ÎLES,Côte-Nord,232,14,10.0,10,18,45,25421,62.6,28.1,9.3
51228203,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,Saguenay-Lac-Saint-Jean,232,15,7.0,14,3,39,25615,75.4,15.2,9.3
51248201,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,Montréal,232,17,4.0,25,4,33,25250,69.6,21.2,9.2
51232130,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,Capitale-Nationale,232,20,5.0,20,16,52,25897,63.5,27.6,8.9
51224392,HÔPITAL DE LASALLE,Montréal,232,16,6.0,17,23,54,25502,57.1,34.2,8.7
51224541,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,Saguenay-Lac-Saint-Jean,232,20,6.0,17,10,40,25547,58.0,33.3,8.7
51235307,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,Montréal,232,15,8.0,12,3,20,24110,77.5,13.9,8.6
51217529,HÔPITAL DU SAINT-SACREMENT,Capitale-Nationale,232,17,4.0,25,16,63,25934,57.8,34.1,8.1
51228823,HÔPITAL ET CHSLD DE PAPINEAU,Outaouais,232,19,8.0,12,11,45,25437,63.2,28.9,7.9
51229136,HÔPITAL DU SUROÎT,Montérégie,232,19,3.0,33,50,98,26028,64.9,27.2,7.8
51228120,HÔPITAL DE GRANBY,Estrie,232,23,5.0,20,31,81,26076,55.4,36.9,7.7
