facility_id,facility_name,region,days_observed,hours_covered,best_hour,best_hour_mean_waiting,worst_hour,worst_hour_mean_waiting,swing,usable
51228203,"HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL","Saguenay-Lac-Saint-Jean",10,24,04:00,0.9,20:00,10.1,9.2,yes
51228278,"HÔPITAL GÉNÉRAL DU LAKESHORE","Montréal",10,24,06:00,7.4,18:00,26.9,19.5,yes
51228310,"HÔPITAL DE LACHINE","Montréal",10,24,04:00,4.4,17:00,11.4,7.0,yes
51228690,"HÔPITAL ET CLSC DE LA MALBAIE","Capitale-Nationale",10,24,03:00,0.0,15:00,5.6,5.6,yes
51228757,"HÔPITAL DE LA CITÉ-DE-LA-SANTÉ","Laval",10,24,09:00,24.9,16:00,53.3,28.4,yes
51228765,"CLSC ET HÔPITAL LE ROYER","Côte-Nord",10,24,05:00,1.2,22:00,11.1,9.9,yes
51228799,"HÔPITAL ET CHSLD MÉMORIAL DE WAKEFIELD / WAKEFIELD MEMORIAL HOSPITAL","Outaouais",10,24,06:00,1.6,15:00,14.6,13.0,yes
51228823,"HÔPITAL ET CHSLD DE PAPINEAU","Outaouais",10,24,07:00,5.8,16:00,15.9,10.1,yes
51228864,"HÔPITAL DE SAINT-EUSTACHE","Laurentides",10,24,06:00,20.9,22:00,45.8,24.9,yes
51228880,"HÔPITAL DE SAINT-JÉRÔME","Laurentides",10,24,05:00,26.1,22:00,42.3,16.2,yes
51228906,"HÔPITAL D'AMOS","Abitibi-Témiscamingue",10,24,06:00,0.7,16:00,12.0,11.3,yes
51228922,"HÔPITAL DE ROUYN-NORANDA","Abitibi-Témiscamingue",10,24,06:00,4.1,20:00,20.6,16.5,yes
51228971,"HÔPITAL DE SAINT-GEORGES","Chaudière-Appalaches",10,24,05:00,7.2,16:00,21.4,14.2,yes
51229011,"HÔPITAL PIERRE-BOUCHER","Montérégie",10,24,11:00,35.9,22:00,57.4,21.5,yes
51229045,"HÔPITAL DU HAUT-RICHELIEU","Montérégie",10,24,08:00,20.7,16:00,39.8,19.1,yes
51229102,"HÔTEL-DIEU DE SOREL","Montérégie",10,24,05:00,9.2,16:00,22.7,13.5,yes
51229136,"HÔPITAL DU SUROÎT","Montérégie",10,24,06:00,6.9,15:00,18.5,11.6,yes
51229151,"HÔPITAL ANNA-LABERGE","Montérégie",10,24,09:00,20.3,16:00,34.2,13.9,yes
51229185,"HÔPITAL BROME-MISSISQUOI-PERKINS","Estrie",10,24,07:00,11.0,20:00,25.9,14.9,yes
51229193,"HÔPITAL HONORÉ-MERCIER","Montérégie",10,24,07:00,17.5,21:00,39.8,22.3,yes
51232023,"HÔPITAL ET CLSC DE SEPT-ÎLES","Côte-Nord",10,24,06:00,4.8,16:00,16.4,11.6,yes
51232130,"INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC","Capitale-Nationale",10,24,07:00,2.4,15:00,17.5,15.1,yes
51233799,"HÔPITAL CHARLES-LE MOYNE","Montérégie",10,24,09:00,31.5,23:00,63.8,32.3,yes
51233914,"HÔPITAL DE L'ENFANT-JÉSUS","Capitale-Nationale",10,24,06:00,7.4,16:00,29.2,21.8,yes
51235190,"HÔPITAL DOUGLAS","Montréal",10,24,08:00,0.1,16:00,4.6,4.5,no
51235307,"INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL","Montréal",10,24,00:00,0.3,14:00,1.7,1.4,no
51235919,"HÔPITAL SANTA CABRINI","Montréal",10,24,08:00,8.9,17:00,24.7,15.8,yes
