facility_id,facility_name,region_name,slug,weekday,hour_local,n_readings,median_occupancy_pct,median_waiting
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,5,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,6,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,7,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,8,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,9,2,0,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,10,2,12.5,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,11,2,25,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,12,2,25,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,13,2,50,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,14,2,75,1.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,15,2,75,2.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,16,2,50,2.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,17,2,50,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,18,2,50,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,19,2,25,1
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,20,2,25,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,21,2,12.5,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,22,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Thu,23,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,0,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,1,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,2,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,3,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,4,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,5,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,6,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,7,2,0,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,8,2,0,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,9,2,0,1.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,10,2,0,2.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,11,2,0,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,12,2,12.5,1.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,13,2,12.5,1
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,14,2,0,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,15,2,12.5,1.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,16,2,12.5,3
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,17,2,12.5,2
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,18,2,12.5,0.5
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,19,2,12.5,0
51245140,"CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA BASSE-CÔTE-NORD","Côte-Nord",centre-multiservices-de-sante-et-de-services-sociaux-de-la-basse-cote-nord,Fri,20,2,0,0
