region,facility_name,establishment,facility_id,percentage_step_points,derived_stretcher_count,distinct_values_published,min_published,max_published,hours_observed
Laurentides,HÔPITAL DE SAINT-JÉRÔME,SANTÉ QUÉBEC LAURENTIDES,51228880,2,50,28,85,151,163
Laval,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,SANTÉ QUÉBEC LAVAL,51228757,2,50,34,110,188,163
Montérégie,HÔPITAL ANNA-LABERGE,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,51229151,3,33,19,100,163,164
Montérégie,HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,51228005,20,5,11,20,220,163
Montérégie,HÔPITAL CHARLES-LE MOYNE,SANTÉ QUÉBEC MONTÉRÉGIE-CENTRE,51233799,2,50,30,84,151,164
Montérégie,HÔPITAL DU HAUT-RICHELIEU,SANTÉ QUÉBEC MONTÉRÉGIE-CENTRE,51229045,2,50,21,84,149,163
Montérégie,HÔPITAL DU SUROÎT,SANTÉ QUÉBEC MONTÉRÉGIE-OUEST,51229136,3,33,18,125,184,163
Montérégie,HÔPITAL HONORÉ-MERCIER,SANTÉ QUÉBEC MONTÉRÉGIE-EST,51229193,3,33,24,73,162,163
Montérégie,HÔPITAL PIERRE-BOUCHER,SANTÉ QUÉBEC MONTÉRÉGIE-EST,51229011,2,50,34,98,183,163
Montérégie,HÔTEL-DIEU DE SOREL,SANTÉ QUÉBEC MONTÉRÉGIE-EST,51229102,5,20,23,94,229,163
Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,SANTÉ QUÉBEC - CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,1,> 50,40,88,173,163
Montréal,CENTRE HOSPITALIER DE ST. MARY,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51248243,4,25,18,77,159,163
Montréal,CHU SAINTE-JUSTINE,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,51222800,6,17,22,44,175,163
Montréal,HÔPITAL DE LACHINE,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,51228310,7,14,20,50,193,163
Montréal,HÔPITAL DE LASALLE,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51224392,6,17,12,80,153,163
Montréal,HÔPITAL DE VERDUN,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51218097,3,33,28,69,177,163
Montréal,HÔPITAL DOUGLAS,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51235190,12,8,10,13,125,163
Montréal,HÔPITAL GÉNÉRAL DE MONTRÉAL,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,51248219,3,33,18,142,200,163
Montréal,HÔPITAL GÉNÉRAL DU LAKESHORE,SANTÉ QUÉBEC OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51228278,3,33,25,145,235,163
Montréal,HÔPITAL GÉNÉRAL JUIF,SANTÉ QUÉBEC CENTRE-OUEST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51248250,1,> 50,50,160,274,163
Montréal,HÔPITAL MAISONNEUVE-ROSEMONT,SANTÉ QUÉBEC EST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,12934659,1,> 50,38,98,170,163
Montréal,HÔPITAL NOTRE-DAME,SANTÉ QUÉBEC CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51236313,2,50,20,100,154,163
Montréal,HÔPITAL ROYAL VICTORIA,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,51223295,3,33,24,173,245,163
Montréal,HÔPITAL SANTA CABRINI,SANTÉ QUÉBEC EST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51235919,2,50,32,66,163,163
Montréal,INSTITUT DE CARDIOLOGIE DE MONTRÉAL,SANTÉ QUÉBEC - INSTITUT DE CARDIOLOGIE DE MONTRÉAL,51248201,4,25,15,9,77,163
Montréal,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,SANTÉ QUÉBEC EST-DE-L'ÎLE-DE-MONTRÉAL - UNIVERSITAIRE,51235307,8,13,12,42,133,163
Montréal,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,SANTÉ QUÉBEC - CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,51223279,8,13,22,42,225,163
